date,monthly_retreat_m,terminus_position_m
2020-01-01,0.5417727190009511,982.6308957199616
2020-01-01,0.3911234550949635,988.3175402932904
2020-02-01,0.5221845179419732,987.7953557753484
2020-02-01,0.1080659752240448,982.5228297447376
2020-03-01,0.2343627902203138,982.2884669545174
2020-03-01,0.2698012845155394,987.525554490833
2020-04-01,0.5393722471738247,981.7490947073436
2020-04-01,0.5751396036691344,986.9504148871638
2020-05-01,0.6476933159990821,981.1014013913444
2020-05-01,0.379872262016239,986.5705426251476
2020-06-01,0.4416612500413446,986.1288813751062
2020-06-01,0.534273656237994,980.5671277351064
2020-07-01,0.4768703435223519,980.090257391584
2020-07-01,0.3796586775541206,985.749222697552
2020-08-01,0.4397792608821422,979.650478130702
2020-08-01,0.8704556369017875,984.8787670606504
2020-09-01,0.4973005550524132,984.381466505598
2020-09-01,0.2042956019265145,979.4461825287756
2020-10-01,0.2884578142088199,984.0930086913892
2020-10-01,0.3560311583210582,979.0901513704544
2020-11-01,0.6645089824206378,983.4284997089684
2020-11-01,0.4078722458080425,978.6822791246464
2020-12-01,0.2558312700057955,983.1726684389628
2020-12-01,0.7114244452437831,977.9708546794026
2021-01-01,0.5687236579136923,977.4021310214888
2021-01-01,0.5417727190009511,982.6308957199616
2021-02-01,0.1080659752240448,982.5228297447376
2021-02-01,0.1473919689274532,977.2547390525614
2021-03-01,0.564816793878959,976.6899222586824
2021-03-01,0.2343627902203138,982.2884669545174
2021-04-01,0.5393722471738247,981.7490947073436
2021-04-01,0.4229835439167367,976.2669387147656
2021-05-01,0.3646155999388082,975.9023231148268
2021-05-01,0.6476933159990821,981.1014013913444
2021-06-01,0.6223352577681736,975.2799878570588
2021-06-01,0.534273656237994,980.5671277351064
2021-07-01,0.4768703435223519,980.090257391584
2021-07-01,0.7061999044991902,974.5737879525597
2021-08-01,0.4397792608821422,979.650478130702
2021-08-01,0.6862560238232397,973.8875319287364
2021-09-01,0.2042956019265145,979.4461825287756
2021-09-01,0.3321564953554723,973.5553754333808
2021-10-01,0.3560311583210582,979.0901513704544
2021-10-01,0.438157524829757,973.1172179085512
2021-11-01,0.4078722458080425,978.6822791246464
2021-11-01,0.5662526862807128,972.5509652222704
2021-12-01,0.6951090254244718,971.855856196846
2021-12-01,0.7114244452437831,977.9708546794026
2022-01-01,0.404165152430942,971.4516910444148
2022-01-01,0.5687236579136923,977.4021310214888
2022-02-01,0.1473919689274532,977.2547390525614
2022-02-01,0.4628682046672365,970.9888228397476
2022-03-01,0.2787330051987943,970.7100898345489
2022-03-01,0.564816793878959,976.6899222586824
2022-04-01,0.4229835439167367,976.2669387147656
2022-04-01,0.2607586751838658,970.449331159365
2022-05-01,0.3646155999388082,975.9023231148268
2022-05-01,0.6625051644788396,969.7868259948862
2022-06-01,0.6223352577681736,975.2799878570588
2022-06-01,0.7712480057141646,969.015577989172
2022-07-01,0.7061999044991902,974.5737879525597
2022-07-01,0.4855979756839332,968.529980013488
2022-08-01,0.6862560238232397,973.8875319287364
2022-08-01,0.7007065795784049,967.8292734339096
2022-09-01,0.5723272050095268,967.2569462289
2022-09-01,0.3321564953554723,973.5553754333808
2022-10-01,0.438157524829757,973.1172179085512
