-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1990 through 12/31/2024 in LST
Location: latitude  -9.505   longitude -77.49 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3947.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W m-2) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (W m-2) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,WS2M,ALLSKY_SFC_LW_DWN,T2M_MAX,CLRSKY_SFC_SW_DWN,CLOUD_AMT,QV2M,RH2M,T2M_MIN,T2MDEW,TS,T2M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
1990,2,10,1.73,272.85,18.92,345.89,48.4,7.07,62.6,1.67,2.05,12.82,9.84,303.13,0.93
1990,2,11,1.5,290.87,18.49,346.31,50.8,8.16,71.42,4.13,4.17,12.69,10.04,279.63,8.78
1990,2,12,1.81,315.09,17.85,337.13,83.5,7.42,69.44,2.91,2.86,12.3,8.97,208.68,1.72
1990,2,13,1.87,319.2,12.89,335.69,96.8,7.0,71.17,2.42,2.03,9.85,7.3,177.6,0.06
1990,2,14,2.04,325.27,15.86,336.67,99.5,6.97,71.06,2.18,1.94,11.46,7.54,167.25,0.5
1990,2,15,1.79,311.57,13.75,335.72,98.9,6.73,74.85,2.13,1.47,8.95,6.0,169.94,1.27
1990,2,16,1.84,311.35,16.58,331.76,98.1,6.85,66.49,2.77,1.69,11.28,8.49,162.86,0.11
1990,2,17,2.51,296.61,16.67,335.38,59.0,6.99,68.75,2.37,1.97,11.62,8.64,269.11,0.0
1990,2,18,2.81,280.45,16.86,337.26,55.5,6.42,65.61,1.47,0.67,11.66,8.22,277.84,0.02
1990,2,19,1.95,279.55,16.85,338.53,50.5,5.85,61.79,1.01,-0.79,10.54,8.1,280.47,0.01
1990,2,20,1.73,277.03,15.94,338.44,55.6,7.06,70.08,4.0,2.17,10.97,8.11,287.12,1.03
1990,2,21,1.36,280.69,14.92,346.07,47.3,7.0,74.56,2.78,2.07,9.69,6.7,304.16,0.41
1990,2,22,1.73,301.85,15.12,337.78,99.9,7.08,73.84,2.3,2.18,10.0,7.07,187.72,0.55
1990,2,23,1.85,298.0,16.16,328.32,99.7,7.09,71.76,1.92,2.18,10.17,7.65,172.59,0.01
1990,2,24,1.66,302.48,13.46,324.74,86.8,6.99,71.18,2.37,1.98,9.61,7.36,172.85,0.01
1990,2,25,1.21,304.72,10.07,326.32,99.9,7.26,80.06,3.39,2.59,7.97,5.94,134.01,0.0
1990,2,26,1.33,292.15,15.45,325.62,99.9,6.72,74.47,2.16,1.48,9.43,6.37,144.45,0.04
1990,2,27,2.01,306.09,12.86,326.06,65.6,6.67,74.03,1.18,1.31,8.72,5.98,216.84,0.31
1990,2,28,1.94,305.57,16.95,319.76,62.4,6.62,67.42,2.52,1.23,10.49,7.88,250.39,0.02
1990,3,1,1.9,302.25,17.36,331.55,81.0,6.26,62.03,2.95,0.39,11.03,8.2,249.6,0.0
1990,3,2,1.54,308.08,11.99,327.33,99.9,6.92,76.59,2.0,1.9,7.89,6.05,175.37,0.07
1990,3,3,1.07,311.51,14.59,323.85,74.3,6.82,70.25,1.96,1.69,10.51,7.52,248.97,0.18
1990,3,4,1.23,315.13,16.47,321.79,90.3,6.82,67.66,1.35,1.64,11.38,8.11,175.12,0.03
1990,3,5,1.5,318.05,18.09,325.56,87.0,7.01,69.79,1.13,2.04,11.67,8.39,187.4,0.12
1990,3,6,1.85,313.53,14.07,325.6,77.2,6.6,67.86,2.2,1.21,9.2,7.21,227.41,0.12
1990,3,7,1.61,322.15,16.5,326.87,98.9,6.97,67.08,4.12,1.98,11.11,8.42,171.32,0.65
1990,3,8,1.42,311.04,13.22,324.8,67.3,6.53,67.49,2.78,1.12,9.34,7.11,243.23,0.14
1990,3,9,1.63,300.2,17.04,325.29,68.0,6.84,65.76,1.54,1.73,11.67,8.72,257.71,0.01
1990,3,10,1.7,295.45,18.8,327.43,64.3,6.75,62.3,2.03,1.53,13.22,9.73,259.79,0.09
1990,3,11,1.36,299.18,18.57,325.81,64.3,6.97,63.96,2.13,1.99,13.26,9.6,265.92,0.61
1990,3,12,1.39,314.97,18.05,323.85,86.4,6.91,63.45,2.08,1.86,13.18,9.48,207.53,0.29
1990,3,13,1.41,312.05,18.54,325.68,79.1,6.77,61.27,1.99,1.57,13.62,9.74,231.85,0.04
1990,3,14,1.12,309.83,18.7,322.27,74.1,7.03,63.42,1.84,2.04,13.79,9.84,241.49,0.09
1990,3,15,1.26,304.4,18.02,325.3,61.3,7.61,67.19,3.81,3.18,13.16,9.88,260.88,0.79
1990,3,16,1.16,314.92,18.67,324.89,88.1,7.11,65.52,2.85,2.2,13.59,9.62,186.59,0.16
1990,3,17,1.72,321.56,14.61,319.62,90.3,6.83,68.97,2.35,1.68,10.92,7.57,209.5,0.03
1990,3,18,1.55,312.89,15.93,323.72,82.6,7.02,68.54,2.63,2.06,11.62,8.16,215.91,2.89
1990,3,19,2.12,313.49,16.86,320.42,83.3,6.98,68.16,1.75,1.94,11.21,8.08,200.74,3.59
1990,3,20,1.89,310.42,16.78,323.22,86.9,6.84,70.12,2.27,1.67,10.35,7.41,201.35,1.81
1990,3,21,1.95,309.21,16.67,321.41,76.5,6.8,70.2,2.21,1.6,10.64,7.29,209.2,0.13
1990,3,22,1.42,320.34,14.32,318.5,87.3,7.31,70.4,3.06,2.65,10.24,8.23,190.92,0.2
1990,3,23,1.3,308.88,16.99,315.38,81.9,6.53,61.27,1.98,1.1,12.11,9.26,205.58,0.04
1990,3,24,1.14,302.24,17.84,315.61,79.5,7.06,64.26,1.23,2.1,12.77,9.54,209.98,0.09
1990,3,25,1.29,295.66,19.67,316.13,56.5,7.07,62.36,3.95,2.08,14.03,10.36,256.16,0.01
1990,3,26,1.56,300.69,18.08,314.84,64.3,7.57,68.6,4.25,3.16,12.65,9.67,236.72,0.0
1990,3,27,2.06,302.3,18.64,313.37,68.8,7.44,69.08,2.97,2.84,12.5,9.36,213.86,0.0
1990,3,28,2.43,308.92,15.7,313.64,79.2,7.11,70.95,3.46,2.24,10.84,7.96,207.28,0.12
1990,3,29,2.56,300.84,17.43,315.96,65.2,5.91,61.84,1.77,-0.27,10.27,7.61,279.59,0.02
1990,3,30,1.48,314.79,16.14,313.54,83.7,5.46,55.45,1.66,-1.77,9.61,7.72,215.05,0.8
1990,3,31,1.7,310.49,10.75,308.84,81.5,6.67,75.21,2.31,1.39,7.17,5.61,223.86,0.07
1990,4,1,1.9,321.48,15.69,309.61,93.5,6.02,62.79,1.79,-0.02,10.32,7.26,155.48,0.08
1990,4,2,1.98,311.4,17.16,311.98,81.3,6.36,65.96,2.02,0.68,10.85,7.39,202.64,0.11
1990,4,3,1.69,300.48,15.41,307.23,68.8,6.6,67.66,2.22,1.22,10.14,7.45,220.76,0.01
1990,4,4,1.7,304.68,17.93,301.9,56.0,6.03,62.68,0.89,-0.1,10.59,8.1,249.94,0.64
1990,4,5,1.57,322.54,14.07,301.42,95.1,6.52,67.97,2.34,1.08,9.65,7.13,197.25,0.13
1990,4,6,1.73,313.31,13.54,306.12,94.2,6.69,68.98,2.23,1.45,9.59,7.18,166.44,0.0
1990,4,7,2.01,295.3,16.61,310.54,73.0,6.81,67.65,2.37,1.61,11.03,7.91,256.72,4.15
1990,4,8,2.11,296.84,16.7,303.24,70.7,6.78,65.76,1.97,1.59,10.91,8.49,257.41,0.41
1990,4,9,1.41,302.2,17.62,305.78,82.3,6.88,63.07,2.15,1.84,12.45,9.64,215.67,0.0
1990,4,10,1.32,304.86,17.53,309.03,85.6,6.88,63.43,2.39,1.84,12.16,9.35,202.07,0.0
1990,4,11,1.67,281.92,18.43,313.4,56.2,6.65,63.84,1.77,1.31,12.36,8.94,253.22,0.01
1990,4,12,1.49,309.52,17.47,303.57,82.1,7.04,64.92,2.63,2.11,12.46,9.2,224.88,0.03
1990,4,13,1.46,302.98,18.74,300.85,94.0,7.39,67.25,2.87,2.8,12.54,9.62,195.25,0.01
1990,4,14,1.76,290.93,17.46,305.65,65.6,7.26,68.01,2.64,2.54,11.92,8.82,255.88,1.44
1990,4,15,1.83,307.9,16.81,304.45,90.3,7.1,70.52,2.66,2.22,10.59,7.83,210.64,0.24
1990,4,16,1.41,318.06,17.97,300.58,87.6,7.03,67.52,2.92,2.06,11.15,8.49,157.74,0.06
1990,4,17,1.76,301.56,15.06,299.9,74.8,7.01,70.94,2.16,2.0,10.1,7.41,201.65,0.03
1990,4,18,1.78,304.2,16.38,298.37,83.3,7.12,68.86,3.86,2.28,10.71,8.37,193.59,0.0
1990,4,19,1.46,307.63,15.26,300.81,74.9,6.38,62.67,3.19,0.75,10.02,7.96,211.9,0.82
1990,4,20,1.59,301.0,16.91,293.77,61.6,5.02,49.78,3.23,-2.75,10.1,8.81,249.05,0.14
1990,4,21,1.51,277.62,18.31,301.71,44.8,5.37,51.26,2.76,-1.8,11.17,9.14,264.03,0.08
1990,4,22,1.45,270.8,17.87,302.14,33.1,6.5,60.85,3.38,0.98,10.39,9.16,254.75,3.33
1990,4,23,1.3,288.73,15.07,297.64,56.8,6.6,66.3,1.79,1.2,10.19,7.72,260.1,0.75
1990,4,24,1.7,317.44,16.11,294.43,94.9,7.12,67.72,3.44,2.3,11.13,8.59,165.42,0.27
1990,4,25,1.78,307.18,18.06,289.99,81.8,7.03,64.4,2.13,2.09,12.36,9.45,183.02,0.03
1990,4,26,2.2,305.14,16.86,289.07,78.6,6.74,63.69,3.33,1.53,11.42,8.65,209.78,0.0
1990,4,27,1.6,302.37,13.28,281.32,74.9,6.37,69.56,2.26,0.72,7.92,6.15,219.53,0.73
1990,4,28,1.84,284.65,17.23,292.23,50.6,6.65,65.23,2.21,1.33,10.77,8.5,252.23,0.08
1990,4,29,1.35,293.34,16.85,287.45,73.0,7.53,68.55,4.9,3.07,11.61,9.31,235.64,0.36
1990,4,30,0.97,298.13,14.6,288.94,95.3,7.3,69.12,4.78,2.66,10.34,8.63,174.08,0.52
1990,5,1,1.14,296.29,17.55,280.52,85.2,7.34,66.6,4.18,2.68,11.4,9.61,200.92,0.04
1990,5,2,0.98,290.32,17.11,279.07,51.1,7.14,61.03,5.88,2.28,12.23,10.34,228.05,0.11
1990,5,3,1.22,274.46,19.05,281.04,55.0,7.01,61.59,4.32,1.96,12.79,10.43,241.55,0.07
1990,5,4,1.08,286.97,17.2,282.21,80.4,7.36,63.88,6.11,2.65,12.24,10.24,220.05,0.05
1990,5,5,1.44,255.13,18.52,285.71,41.1,6.49,58.85,4.15,0.76,12.44,10.09,272.42,0.01
1990,5,6,1.97,283.11,15.42,286.39,68.8,7.01,71.02,3.19,2.08,9.94,7.57,229.07,6.05
1990,5,7,1.56,304.81,16.71,282.72,88.7,6.6,65.93,1.15,1.26,10.52,8.15,184.74,0.78
1990,5,8,1.33,276.61,18.17,284.78,64.8,6.88,64.87,1.3,1.79,11.73,9.17,228.35,0.0
1990,5,9,1.66,286.08,16.89,283.52,66.3,6.83,64.3,3.55,1.7,11.13,8.81,226.03,0.23
1990,5,10,2.01,270.94,14.87,289.01,49.7,6.73,67.25,2.96,1.44,9.46,7.49,261.86,0.22
1990,5,11,1.59,285.48,15.72,282.1,73.5,7.02,72.51,2.46,2.08,9.47,7.25,194.11,0.25
1990,5,12,1.46,287.67,15.18,277.58,66.6,6.64,66.71,2.53,1.3,9.54,7.86,202.8,1.52
1990,5,13,1.27,300.44,16.13,274.97,81.1,6.63,68.39,0.66,1.31,9.97,7.77,175.77,0.26
1990,5,14,1.37,283.88,15.43,274.9,61.7,6.68,67.36,1.45,1.4,9.63,7.81,204.14,1.5
1990,5,15,1.46,255.31,17.28,279.13,47.6,6.61,66.71,0.68,1.25,10.4,8.29,220.81,0.19
1990,5,16,1.26,274.8,16.76,277.76,56.9,6.33,62.93,2.27,0.66,11.02,8.62,206.65,0.0
1990,5,17,1.49,287.97,16.81,273.79,62.7,6.2,61.49,1.39,0.4,11.1,8.57,191.52,0.0
1990,5,18,2.1,293.37,16.21,277.51,65.2,6.37,63.68,2.36,0.75,10.34,8.21,211.38,1.71
1990,5,19,1.44,308.95,16.15,275.96,90.3,6.42,67.94,-0.07,0.87,9.44,7.28,155.2,1.66
1990,5,20,1.45,278.65,17.64,274.52,56.5,5.85,63.34,-0.6,-0.41,10.02,7.57,204.38,0.02
1990,5,21,1.95,299.96,17.2,272.17,77.0,5.66,61.34,-0.74,-0.83,9.87,7.47,149.73,0.0
1990,5,22,2.15,298.37,16.48,271.84,96.8,5.57,59.29,1.17,-1.13,10.16,7.85,194.57,0.1
1990,5,23,2.08,263.98,16.18,270.87,36.7,5.01,54.18,1.67,-2.53,9.53,7.55,261.79,0.0
1990,5,24,2.12,256.74,17.81,273.12,49.6,3.87,49.13,-1.82,-6.06,8.96,6.73,228.7,0.0
1990,5,25,2.4,249.07,16.95,278.5,47.3,4.91,54.13,-1.2,-2.87,9.36,6.98,261.05,0.0
1990,5,26,1.29,231.26,18.12,275.03,25.5,5.17,59.25,-1.46,-2.3,9.91,7.71,279.09,0.0
1990,5,27,1.08,241.95,18.11,269.92,27.7,4.47,53.58,-1.06,-4.57,10.02,7.74,260.34,0.0
1990,5,28,1.24,245.93,17.59,268.4,37.4,4.68,51.22,-1.73,-3.61,9.66,7.6,242.18,0.01
1990,5,29,1.53,250.39,16.7,263.18,47.1,6.56,67.51,0.17,1.15,10.03,7.74,229.01,0.01
1990,5,30,1.65,306.79,15.86,267.25,85.6,6.31,64.7,2.64,0.62,9.94,7.6,166.36,0.35
1990,5,31,1.6,287.91,14.79,255.58,98.6,6.2,65.33,1.21,0.26,8.91,6.9,128.36,0.78
1990,6,1,1.57,303.2,16.54,262.34,94.4,6.63,65.91,2.1,1.29,10.26,8.33,165.19,0.14
1990,6,2,2.12,287.2,15.91,251.57,78.4,6.59,66.63,1.92,1.21,10.07,7.77,193.9,0.06
1990,6,3,1.61,271.57,16.48,269.48,52.3,6.81,65.35,3.1,1.69,10.63,8.73,219.34,0.81
1990,6,4,1.56,288.1,16.95,263.53,71.9,6.82,67.55,2.28,1.69,10.13,8.49,185.88,0.22
1990,6,5,1.81,305.84,17.04,253.2,82.2,6.57,66.29,1.33,1.16,10.37,8.43,182.39,0.01
1990,6,6,2.0,275.32,17.28,255.04,37.9,6.17,63.89,1.12,0.26,10.57,8.36,234.43,0.0
1990,6,7,1.85,277.64,17.35,258.15,51.1,6.07,62.55,1.09,0.07,10.46,8.23,218.27,0.34
1990,6,8,1.57,285.46,16.59,265.27,60.1,6.35,65.75,0.65,0.72,10.09,7.86,209.51,0.09
1990,6,9,1.68,309.39,16.29,261.75,90.9,6.92,66.74,3.72,1.9,10.57,8.67,167.38,0.24
1990,6,10,1.42,313.92,16.55,256.67,91.8,6.9,68.86,1.81,1.87,10.5,8.17,151.23,0.38
1990,6,11,2.14,312.49,15.91,260.47,93.2,6.45,64.99,2.05,0.9,10.18,7.89,164.08,0.12
1990,6,12,1.89,288.68,16.95,266.13,79.0,6.51,65.47,1.83,1.04,10.47,8.0,202.44,2.0
1990,6,13,1.66,288.64,16.59,259.43,62.9,6.75,66.15,2.5,1.55,10.9,8.63,201.89,0.31
1990,6,14,1.51,296.01,14.65,259.95,74.4,6.5,68.01,2.69,1.01,9.43,7.38,208.54,0.71
1990,6,15,1.58,287.54,16.74,264.83,64.3,5.64,59.89,0.42,-1.0,9.77,7.71,205.66,0.2
1990,6,16,1.69,270.82,15.51,259.96,66.9,6.57,66.63,2.23,1.19,10.14,7.84,202.24,2.98
1990,6,17,1.69,265.35,16.35,263.01,49.7,6.22,65.21,1.12,0.45,10.19,7.62,214.16,0.06
1990,6,18,1.48,256.82,16.9,262.11,45.0,5.75,58.63,1.32,-0.67,10.7,8.34,227.75,0.0
1990,6,19,1.85,248.56,17.32,263.93,27.3,4.65,51.9,-0.11,-3.69,9.96,7.65,247.98,0.0
1990,6,20,2.65,249.7,16.18,262.76,36.2,5.05,58.17,-0.95,-2.41,8.9,6.61,238.63,0.0
1990,6,21,2.13,258.6,16.22,267.2,42.9,5.44,60.75,-0.15,-1.46,9.49,7.16,223.67,0.28
1990,6,22,1.57,267.14,16.83,260.02,49.5,5.62,60.28,-0.73,-1.1,9.92,7.63,218.16,0.3
1990,6,23,1.84,276.17,14.81,265.8,55.7,6.4,66.98,2.86,0.82,9.7,7.31,217.36,0.01
1990,6,24,1.46,297.09,14.05,262.39,73.5,5.93,66.13,0.9,-0.24,8.6,6.49,198.65,0.0
1990,6,25,1.64,310.09,14.43,257.08,94.7,5.0,55.36,1.3,-2.98,8.32,6.44,163.8,7.74
1990,6,26,1.93,287.03,13.55,262.33,63.8,6.12,68.55,1.15,0.2,7.89,6.3,204.57,1.76
1990,6,27,1.34,265.64,16.7,262.37,53.4,6.26,63.91,1.85,0.43,9.77,8.31,212.37,0.06
1990,6,28,1.61,250.89,16.07,263.38,32.6,6.23,65.28,1.73,0.4,9.94,7.81,247.65,0.0
1990,6,29,2.16,260.05,15.88,259.22,43.2,5.09,59.43,-0.98,-2.32,9.04,6.59,228.78,0.0
1990,6,30,2.12,262.76,16.33,255.23,58.2,5.05,60.03,-1.5,-2.46,8.73,6.55,204.69,0.0
1990,7,1,1.62,266.15,16.09,265.96,51.5,5.34,59.17,-0.52,-1.67,9.21,6.87,220.15,0.0
1990,7,2,1.49,293.83,15.9,258.69,87.6,5.27,59.64,-0.18,-1.81,8.92,6.78,196.52,0.07
1990,7,3,1.34,292.92,15.94,264.3,73.4,4.42,55.44,-2.37,-4.31,8.32,6.13,170.09,0.05
1990,7,4,1.46,283.08,16.29,265.63,60.7,4.82,55.15,-2.36,-3.14,9.01,6.91,193.52,0.0
1990,7,5,1.68,268.53,15.87,266.22,37.9,6.48,66.67,2.13,1.0,10.39,7.78,238.27,0.0
1990,7,6,1.5,257.6,16.87,267.81,42.2,6.13,62.42,2.02,0.19,10.37,8.31,242.95,0.0
1990,7,7,1.43,252.21,17.25,261.99,40.6,6.43,65.28,1.98,0.85,10.36,8.36,237.72,0.2
1990,7,8,1.71,248.89,17.46,265.88,28.6,4.57,49.68,0.94,-4.32,9.04,8.22,254.47,0.1
1990,7,9,1.6,265.53,16.58,260.68,30.7,4.82,53.85,-1.71,-3.67,8.71,7.62,243.27,0.0
1990,7,10,1.71,263.79,16.49,267.68,33.7,5.73,62.66,0.25,-0.82,8.88,7.0,264.13,0.0
1990,7,11,2.33,297.26,13.97,266.18,75.2,6.26,67.77,1.93,0.55,8.47,6.61,202.06,0.06
1990,7,12,1.44,285.53,16.19,249.48,56.0,5.87,62.73,0.93,-0.32,9.6,7.32,201.57,0.02
1990,7,13,1.59,268.96,16.98,263.74,37.3,5.45,60.68,-1.51,-1.42,9.61,7.1,228.95,0.0
1990,7,14,1.47,269.76,16.89,271.87,40.3,5.53,58.34,0.64,-1.18,10.11,7.8,225.18,0.0
1990,7,15,1.23,258.84,16.26,268.25,38.4,5.19,56.13,0.83,-2.09,9.9,7.65,238.13,0.0
1990,7,16,1.23,223.14,16.33,272.62,20.9,4.7,54.55,-1.41,-3.62,9.55,7.25,273.32,0.0
1990,7,17,1.57,251.08,15.68,263.77,29.1,5.88,64.16,0.38,-0.41,9.57,7.29,248.23,0.0
1990,7,18,1.61,242.21,16.4,270.33,27.0,5.65,59.43,1.61,-1.02,9.86,7.99,259.77,0.0
1990,7,19,1.91,249.32,14.43,268.15,28.8,6.42,69.58,1.45,0.83,8.8,6.81,255.21,0.0
1990,7,20,1.57,258.69,15.56,268.73,40.2,6.17,64.9,2.02,0.26,9.97,7.8,233.11,0.01
1990,7,21,1.82,288.06,15.4,262.54,67.2,6.13,67.59,1.52,0.2,9.41,6.96,221.29,0.16
1990,7,22,1.99,296.51,15.0,266.12,88.1,5.9,64.76,2.28,-0.3,9.63,6.91,215.16,0.07
1990,7,23,1.7,287.53,14.9,258.48,61.3,5.9,64.0,1.79,-0.32,9.46,7.09,196.28,0.0
1990,7,24,1.4,268.57,17.27,257.72,43.8,4.96,58.06,-0.7,-2.7,10.08,7.15,238.13,0.48
1990,7,25,1.64,251.12,16.71,270.97,41.8,4.16,52.81,-2.53,-5.07,9.32,6.13,241.82,0.11
1990,7,26,1.59,248.08,16.96,262.63,35.5,3.76,50.29,-3.39,-6.45,8.77,6.04,259.62,0.0
1990,7,27,1.89,246.55,15.97,251.04,45.6,4.25,54.77,-1.76,-4.95,9.33,6.18,242.29,0.0
1990,7,28,2.34,232.38,16.36,275.91,34.4,5.56,63.06,-0.84,-1.16,9.7,6.91,270.11,0.0
